id,name,latitude,longitude,address,city,state,postcode,country,power_kw,connector_types,access_type,operator,network,status
62140,Hyatt Regency Jersey City on the Hudson - Tesla,40.7171013,-74.0317368,2 Exchange Pl,Jersey City,NJ,07302,,16.0,,Unknown,Unknown,Unknown,Unknown
246304,Champion Parking 60 E 8th - Tesla Destination,40.730487,-73.993569,60-68 E 8th St,New York,NY,10003,,3.7,,Unknown,Unknown,Unknown,Unknown
28399,CARCHARGING,40.729535,-73.991398,445 Lafayette St,New York,NY,10003,,3.0,,Unknown,Unknown,Unknown,Unknown
246260,Quik Park Brooklyn Bridge LLC - Tesla Destination,40.692941,-74.000298,4 Joralemon St,Brooklyn,NY,11201,,3.7,,Unknown,Unknown,Unknown,Unknown
246281,Hyatt Regency Jersey City on the Hudson - Tesla Destination,40.716966,-74.032769,2 Exchange Pl,Jersey City,NJ,07302,,3.7,,Unknown,Unknown,Unknown,Unknown
67362,Icon Parking - Tesla,40.732296,-73.9960757,11 5th Ave,New York,NY,10003,,8.0,,Unknown,Unknown,Unknown,Unknown
105376,Standard Parking Pierepoint Plaza,40.695115,-73.990993,300 Cadman,Brooklyn,New York,11201,,10.0,,Unknown,Unknown,Unknown,Unknown
81917,GGMC Parking Stewart House Garage (located At 91 E 9th St),40.731257,-73.992101,91 East 9th St,New York,NY,10003,,8.0,,Unknown,Unknown,Unknown,Unknown
67361,GGMC Parking - Tesla,40.7312576,-73.9920918,91 E 9th St,New York,NY,10003,,8.0,,Unknown,Unknown,Unknown,Unknown
246305,GGMC 91 E 9th Street - Tesla Destination,40.730723,-73.990854,91 East 9th Street,New York,NY,10003,,3.7,,Unknown,Unknown,Unknown,Unknown
95532,Icon Parking 150 Charles Street,40.734006,-74.009079,150 Charles St,New York,NY,10014,,8.0,,Unknown,Unknown,Unknown,Unknown
67363,Icon Parking - Tesla,40.7325223,-73.995208,12 E 9th St,New York,NY,10003,,8.0,,Unknown,Unknown,Unknown,Unknown
226839,LaSalle Parking LLS Shumai LLC (220 E 9th St.),40.729495,-73.988375,220 E 9th St,Manhattan,NY,10003,,3.7,,Unknown,Unknown,Unknown,Unknown
48823,Crystal Point Garage,40.7215275250882,-74.0318107,2 2nd Street,Jersey City,NJ,07302,,7.0,,Unknown,Unknown,Unknown,Unknown
115871,Littleman Parking Crystal Point Garage - Tesla Destination,40.721293,-74.03204,2 Second St,Jersey City,NJ,07032,,3.7,,Unknown,Unknown,Unknown,Unknown
294559,10 Exchange Pl. Garage,40.71662150647494,-74.03390856845364,10 Exchange Pl.,Jersey City,NJ,07302,,3.7,,Unknown,Unknown,Unknown,Unknown
90282,Rapidpark 44 State Street,40.692062,-73.99816,44 State St,Brooklyn,New York,11201,,16.0,,Unknown,Unknown,Unknown,Unknown
246286,Veris Residential,40.719128,-74.033226,475 Washington Blvd,Jersey City,NJ,07310,,3.7,,Unknown,Unknown,Unknown,Unknown
246308,Parkright 738 Greenwich Street - Tesla Destination,40.734412,-74.007184,738 Greenwich St,New York,NY,10014,,3.7,,Unknown,Unknown,Unknown,Unknown
142429,GMC Parking - Travelers Garage,40.7343139648,-74.001953125,200  Cabrini Blvd,New York,NY,10033,,3.7,,Unknown,Unknown,Unknown,Unknown
81348,Icon Parking University 10 Parking (entrance on 50 E 10th Street),40.731887,-73.991906,63 E 9th St,New York,New York,10003,,8.0,,Unknown,Unknown,Unknown,Unknown
246309,Travelers Parking,40.73491,-74.001634,160 W 10th Street,New York,NY,10014,,3.7,,Unknown,Unknown,Unknown,Unknown
71526,Parkright - Tesla,40.735158,-74.007276,738 Greenwich St,New York,NY,10014,,6.0,,Unknown,Unknown,Unknown,Unknown
131493,101 Hudson-Littleman Parking,40.71585,-74.035362,101 Hudson Street,Jersey City,NJ,07311,,10.0,,Unknown,Unknown,Unknown,Unknown
85117,Apple Parking 332 W 11th Street,40.735597,-74.007693,332 W 11th St,New York,New York,10014,,11.0,,Unknown,Unknown,Unknown,Unknown
131458,160 Greene-Littleman Parking,40.718398,-74.035327,135 Greene St,Jersey City,New Jersey,07311,,10.0,,Unknown,Unknown,Unknown,Unknown
81822,Parkit 310 E 11th Street,40.730017,-73.985512,310 E 11th St,New York,New York,10003,,14.0,,Unknown,Unknown,Unknown,Unknown
226842,CHHA2 Garages LLC,40.733934,-73.993118,21 E 12th St,New York,NY,10003,,3.7,,Unknown,Unknown,Unknown,Unknown
246261,Brooklyn Renaissance Plaza,40.693463,-73.988245,335 Adams St,Brooklyn,NY,11201,,3.7,,Unknown,Unknown,Unknown,Unknown
67352,Parkright - Tesla,40.6968521,-73.9828995,257 Gold St,Brooklyn,NY,11201,,8.0,,Unknown,Unknown,Unknown,Unknown
